EmployeeNumber,Gender,HourlyRate,JobRole,JobSatisfaction,NumCompaniesWorked,OverTime,PercentSalaryHike,new_hike,PerformanceRating,YearsSinceLastPromotion,Q2,Q3,Q4,
1,Female,94,Sales Executive,4,8,Yes,11,10,3,0,NA,,Not Leader,
2,Male,61,Research Scientist,2,1,No,23,24,4,1,NA, ,Not Leader,
4,Male,92,Laboratory Technician,3,6,Yes,15,14,3,0,NA, ,Not Leader,
5,Female,56,Research Scientist,3,1,Yes,11,10,3,3,NA, ,Not Leader,
7,Male,40,Laboratory Technician,2,9,No,12,11,3,2,NA, ,Not Leader,
8,Male,79,Laboratory Technician,4,0,No,13,12,3,3,NA, ,Not Leader,
10,Female,81,Laboratory Technician,1,4,Yes,20,21,4,0,NA, ,Not Leader,
11,Male,67,Laboratory Technician,3,1,No,22,23,4,0,NA, ,Not Leader,
12,Male,44,Manufacturing Director,3,0,No,21,22,4,1,NA, ,Not Top Leader,
13,Male,94,Healthcare Representative,3,6,No,13,12,3,7,NA,Due for promotion,Not Leader,
14,Male,84,Laboratory Technician,2,0,No,13,12,3,0,NA, ,Not Leader,
15,Female,49,Laboratory Technician,3,0,Yes,12,11,3,0,NA, ,Not Leader,
16,Male,31,Research Scientist,3,1,No,17,16,3,4,NA, ,Not Leader,
18,Male,93,Laboratory Technician,4,0,No,11,10,3,1,NA, ,Not Leader,
19,Male,50,Laboratory Technician,3,5,Yes,14,13,3,0,NA, ,Not Leader,
20,Female,51,Manufacturing Director,1,1,No,11,10,3,8,NA,Due for promotion,Not Top Leader,
21,Male,80,Research Scientist,2,0,Yes,12,11,3,0,NA, ,Not Leader,
22,Male,96,Laboratory Technician,4,1,Yes,13,12,3,0,NA, ,Not Leader,
23,Female,78,Manager,4,2,No,16,15,3,3,NA, ,Not Top Leader,
24,Male,45,Research Scientist,4,5,Yes,11,10,3,1,NA, ,Not Leader,
26,Female,96,Manufacturing Director,3,0,No,18,17,3,1,NA, ,Not Top Leader,
27,Male,82,Sales Representative,1,7,No,23,24,4,0,high-salary representative, ,Not Leader,
28,Female,53,Research Director,2,0,No,11,10,3,2,NA, ,Not Top Leader,
30,Male,96,Research Scientist,4,1,No,14,13,3,0,NA, ,Not Leader,
31,Male,83,Research Scientist,1,2,No,11,10,3,1,NA, ,Not Leader,
32,Female,58,Manager,3,4,No,11,10,3,4,NA, ,Not Top Leader,
33,Female,72,Research Scientist,1,1,Yes,22,23,4,6,NA,Due for promotion,Not Leader,
35,Male,48,Sales Executive,2,0,No,11,10,3,4,NA, ,Not Leader,
36,Female,42,Healthcare Representative,4,3,No,14,13,3,5,NA, ,Not Leader,
38,Female,83,Manager,1,3,No,12,11,3,2,NA, ,Not Top Leader,
39,Male,78,Laboratory Technician,4,4,No,11,10,3,0,NA, ,Not Leader,
40,Male,41,Healthcare Representative,4,2,Yes,13,12,3,1,NA, ,Not Leader,
41,Male,83,Laboratory Technician,3,1,No,13,12,3,1,NA, ,Not Leader,
42,Male,56,Sales Representative,4,3,No,14,13,3,0,NA, ,Not Leader,
45,Male,61,Research Scientist,4,2,Yes,16,15,3,2,NA, ,Not Leader,
46,Female,72,Research Scientist,3,1,No,12,11,3,1,NA, ,Not Leader,
47,Male,86,Sales Representative,3,1,Yes,14,13,3,0,high-salary representative, ,Not Leader,
49,Female,97,Sales Representative,4,1,No,13,12,3,2,high-salary representative, ,Not Leader,
51,Female,82,Research Scientist,1,9,Yes,14,13,3,0,NA, ,Not Leader,
52,Female,42,Sales Executive,1,2,No,19,18,3,1,NA, ,Not Leader,
53,Male,75,Laboratory Technician,4,1,No,12,11,3,0,NA, ,Not Leader,
54,Female,33,Laboratory Technician,1,1,No,13,12,3,0,NA, ,Not Leader,
55,Male,48,Laboratory Technician,3,1,No,12,11,3,0,NA, ,Not Leader,
56,Male,37,Sales Executive,3,1,No,15,14,3,1,NA, ,Not Leader,
57,Female,58,Laboratory Technician,4,1,No,23,24,4,3,NA, ,Not Leader,
58,Female,49,Research Director,3,1,No,12,11,3,15,NA,Due for promotion,Not Top Leader,
60,Male,72,Sales Executive,3,0,No,20,21,4,8,NA,Due for promotion,Not Leader,
61,Male,73,Research Scientist,2,4,No,21,22,4,0,NA, ,Not Leader,
62,Male,98,Sales Executive,4,4,Yes,21,22,4,0,NA, ,Not Leader,
63,Male,36,Laboratory Technician,4,1,No,19,18,3,0,NA, ,Not Leader,
64,Male,98,Laboratory Technician,3,9,Yes,13,12,3,0,NA, ,Not Leader,
65,Male,50,Laboratory Technician,3,1,Yes,13,12,3,2,NA, ,Not Leader,
68,Female,75,Sales Executive,1,5,Yes,21,22,4,1,NA, ,Not Leader,
70,Male,79,Healthcare Representative,1,2,Yes,13,12,3,2,NA, ,Not Leader,
72,Female,47,Sales Executive,4,7,Yes,19,18,3,0,NA, ,Not Leader,
